物件番号,物件種目,所在地,価格,土地面積(㎡),㎡単価,坪単価,取引態様,取引状況,建ぺい率(%),容積率(%),用途地域,第一種低層住居,最寄駅,交通,接道状況,接道,販売会社,電話番号,土地形状,法的制限,販売条件,契約条件,最適用途,私道負担,最終更新日,周辺施設,最寄駅情報,バス停情報
100130231657,売地,東京都中野区大和町２丁目,"5,280",68.64,77,254.3,専任,公開中,60%,150%,一低,☓,総武中央線　高円寺,徒歩　14分,一方,東4m,三井不動産リアルティ（株）三井のリハウス高円寺センター 三井不動産リアルティ（株）三井のリハウス高円寺センター,03-3315-3131,,,,,,なし,,,,"0m, "
100124188511,売地,東京都中野区本町４丁目,"4,480",32.51,137.9,455.6,専属,公開中,60%,300%,一住,☓,丸ノ内方南　中野新橋,徒歩　3分,二方,東11m,（株）日税不動産情報センター　東京西支店 （株）日税不動産情報センター　東京西支店,042-528-7757,,,,,,なし,,,,"0m, "
100132261230,売地,東京都中野区弥生町３丁目,"8,000",71.03,112.7,372.4,一般,-,null%,null%,-,☓,丸ノ内方南　中野新橋,徒歩　9分,-,-,モンスターハウス（株） モンスターハウス（株）,09044799363,,,,,,なし,,,,"0m, "
100132170558,売地,東京都中野区中野３丁目,"29,800",227.36,131.1,433.3,一般,-,60%,168%,一中,☓,総武中央線　中野,徒歩　8分,一方,南4.2m,住友不動産販売（株）　中野営業センター 住友不動産販売（株）　中野営業センター,050-3112-9811,,,,,,なし,,,,"0m, "
100132164155,借地権,東京都中野区本町４丁目,"4,980",119.13,41.9,138.2,一般,-,null%,null%,-,☓,丸ノ内線　新中野,徒歩　6分,一方,4m,同栄コンサルティング（株） 同栄コンサルティング（株）,03-3377-2811,,,,,,なし,,,,"0m, "
100132042595,売地,東京都中野区中野３丁目,"29,800",227.36,131.1,433.3,一般,-,60%,200%,一中,☓,中央線　中野,徒歩　7分,一方,南西4.2m,三井不動産リアルティ（株）三井のリハウス中野センター 三井不動産リアルティ（株）三井のリハウス中野センター,03-3385-3131,,,,,,なし,,,,"0m, "
100130975835,売地,東京都中野区野方６丁目,"6,180",80.6,76.7,253.5,専任,公開中,60%,150%,一低,☓,西武新宿線　野方,徒歩　4分,一方,-,三井不動産リアルティ（株）三井のリハウス荻窪センター 三井不動産リアルティ（株）三井のリハウス荻窪センター,03-3392-3131,,,,,,なし,,,,"0m, "
100132103246,売地,東京都中野区若宮１丁目,"7,240",108.18,67,221.3,一般,-,60%,150%,一低,☓,西武新宿線　野方,徒歩　6分,一方,南3.7m,住友林業ホームサービス（株）　中野店 住友林業ホームサービス（株）　中野店,03-6382-8531,,,,,,なし,,,,"0m, "
100132057591,売地,東京都中野区南台５丁目,"22,000",255.06,86.3,285.2,一般,-,60%,200%,一中,☓,京王線　笹塚,徒歩　14分,角地,東4m,ウルクル（株） ウルクル（株）,03-6433-5301,,,,,,なし,,,,"0m, "
100130950671,売地,東京都中野区若宮１丁目,"7,240",108.18,67,221.3,一般,-,60%,150%,一低,☓,西武新宿線　野方,徒歩　7分,一方,南3.7m,三井不動産リアルティ（株）三井のリハウス高円寺センター 三井不動産リアルティ（株）三井のリハウス高円寺センター,03-3315-3131,,,,,,なし,,,,"0m, "
100131045319,売地,東京都中野区若宮３丁目,"3,980",44.29,89.9,297.1,専任,公開中,80%,300%,近商,☓,西武新宿線　都立家政,徒歩　2分,一方,西5.2m,三井不動産リアルティ（株）三井のリハウス高円寺センター 三井不動産リアルティ（株）三井のリハウス高円寺センター,03-3315-3131,,,,,,なし,,,,"0m, "
100132097077,売地,東京都中野区松が丘１丁目,"12,800",169.38,75.6,249.9,売主,-,60%,150%,一低,☓,西武新宿線　新井薬師前,徒歩　3分,三方,北4m,（株）幸和トラスト （株）幸和トラスト,03-5942-8780,,,,,,なし,,,,"0m, "
100132080430,売地,東京都中野区江原町２丁目,"3,290",32.96,99.9,330,売主,-,80%,300%,近商,☓,大江戸線　新江古田,徒歩　8分,二方,南6m,（株）ＢＬＩＳＳ （株）ＢＬＩＳＳ,03-5816-1172,,,,,,なし,,,,"0m, "
100132026984,売地,東京都中野区南台５丁目,"22,000",255.06,86.3,285.2,一般,-,60%,200%,一中,☓,丸ノ内方南　方南町,徒歩　10分,-,-,（株）三美ホームズ （株）三美ホームズ,03-5454-5011,,,,,,なし,,,,"0m, "
100131923827,売地,東京都中野区上鷺宮４丁目,"9,880",98.34,100.5,332.2,一般,-,50%,150%,一低,☓,西武池袋線　富士見台,徒歩　5分,一方,南4m,三井不動産リアルティ（株）三井のリハウス石神井公園センター 三井不動産リアルティ（株）三井のリハウス石神井公園センター,03-3996-3131,,,,,,なし,,,,"0m, "
100131967563,売地,東京都中野区野方３丁目,"11,500",165.17,69.7,230.2,一般,-,60%,150%,一低,☓,西武新宿線　野方,徒歩　8分,一方,南5.6m,三井住友トラスト不動産（株）　高円寺センター 三井住友トラスト不動産（株）　高円寺センター,03-3330-6082,,,,,,なし,,,,"0m, "
100131824361,売地,東京都中野区新井３丁目,"3,680",44.32,83.1,274.5,専任,公開中,60%,200%,一中,☓,中央線　中野,徒歩　15分,一方,西2.7m,三井不動産リアルティ（株）三井のリハウス中野センター 三井不動産リアルティ（株）三井のリハウス中野センター,03-3385-3131,,,,,,なし,,,,"0m, "
100131828672,売地,東京都中野区中央４丁目,"4,480",51.6,86.9,287.1,一般,-,null%,null%,-,☓,中央線　中野,徒歩　10分,-,-,（株）東宝ハウス杉並 （株）東宝ハウス杉並,03-4332-7890,変形,"建物解体費用:買主負担
測量費用:買主負担",現況引渡し,なし,住宅用地,なし,2023年9月1日,"ライフ中野新井店(920m, 徒歩11分)、セブンイレブン中野中央店(50m, 徒歩1分)、ファミリーマート中野中央店(400m, 徒歩5分)、平安堂工房八島(350m, 徒歩4分)、中野区役所(850m, 徒歩11分)","JR中央線『中野』駅(10m, 徒歩10分)","500m, 徒歩6分"
100131805728,売地,東京都中野区鷺宮４丁目,"12,000",158.17,75.9,250.9,専任,公開中,null%,null%,-,○,西武新宿線　鷺ノ宮,徒歩　8分,-,-,コクエイ不動産 コクエイ不動産,03-3461-0711,角地,第一種低層住居専用地域,相談に応じます,即引渡可,住宅,あり,2021年11月5日,"中野区鷺ノ宮図書館(364m, 徒歩約4分)、中野区立若宮小学校(545m, 徒歩約7分)、ルネサンス鷺ノ宮スポーツ施設(470m, 徒歩約6分)","鷺ノ宮駅(580m, 徒歩約8分)","109m, 徒歩約2分"
100124260189,売地,東京都中野区弥生町３丁目,"30,250",178.91,169.1,559,専任,公開中,80%,300%,近商,○,丸ノ内方南　中野新橋,徒歩　8分,角地,南5.8m,三井不動産リアルティ（株）三井のリハウス中野坂上センター 三井不動産リアルティ（株）三井のリハウス中野坂上センター,03-5338-8831,不整形,防火地域,現況渡し,なし,住宅用地,なし,2023-燃料混合,"弥生保育園(390m, 徒歩5分)、新渡戸文化中学校(560m, 徒歩7分)、セブンイレブン中野弥生町1丁目店(960m, 徒歩12分)、新宿区立新宿図書館(1510m, 徒歩19分)","中野新橋駅(640m, 徒歩8分)、西新宿五丁目駅(880m, 徒歩11分)、中野富士見町駅(1120m, 徒歩14分)","0m, -"
100129350242,売地,東京都中野区弥生町２丁目,"8,580",73.42,116.9,386.4,専任,公開中,60%,200%,一住,○,丸ノ内方南　中野新橋,徒歩　3分,一方,北5.4m,（株）大京穴吹不動産　新宿店 （株）大京穴吹不動産　新宿店,03-5909-7501,台形,-,-,-,住宅,なし,2023年2月10日,"マルエツ中野新橋店(480m, )、まいばすけっと中野弥生町三丁目店(630m, )、ローソンストア100中野新橋店(1040m, )、ファミリーマート中野弥生町二丁目店(1070m, )、中野区立本五ふれあい公園(230m, )","中野新橋駅(170m, 徒歩3分)","0m, -"
100131676060,売地,東京都中野区中央２丁目,"9,800",419.14,23.4,77.3,専属,公開中,80%,400%,近商,☓,丸ノ内方南　中野坂上,徒歩　10分,二方,北10.1m,（株）シーアイマネジメント （株）シーアイマネジメント,03-6277-5110,北側公道幅員10.9m、南側公道幅員4.5m,計画道路の指定があります。,現況有姿売買。,貸借期間は2030年1月30日まで。,マンション建設用地,なし,令和6年7月21日現在,"東中野駅(800m, 徒歩10分)、中野坂上駅(800m, 徒歩10分)","東中野駅(800m, 10分)、中野坂上駅(800m, 10分)","0m, "
100131675588,売地,東京都中野区中央２丁目,"9,800",419.14,23.4,77.3,専属,公開中,80%,400%,近商,☓,総武中央線　東中野,徒歩　10分,二方,北10.1m,（株）シーアイマネジメント （株）シーアイマネジメント,03-6277-5110,,,,,,なし,,,,"0m, "
100131675552,底地権,東京都中野区中央２丁目,"9,800",419.14,23.4,77.3,専属,公開中,80%,400%,近商,☓,丸ノ内線　中野坂上,徒歩　10分,二方,北10.1m,（株）シーアイマネジメント （株）シーアイマネジメント,03-6277-5110,,,,,,なし,,,,"0m, "
100131675512,底地権,東京都中野区中央２丁目,"9,800",419.14,23.4,77.3,専属,公開中,80%,400%,近商,☓,総武中央線　東中野,徒歩　10分,二方,北10.9m,（株）シーアイマネジメント （株）シーアイマネジメント,03-6277-5110,,,,,,なし,,,,"0m, "
100131609365,売地,東京都中野区白鷺３丁目,"3,480",99.33,35.1,115.9,売主,-,50%,150%,一低,☓,西武新宿線　下井草,徒歩　8分,一方,西,（株）ネクステン （株）ネクステン,03-6419-7740,,,,,,なし,,,,"0m, "
